id1;lat;lng;google address
VIA  DELLA SPIGA 4 
VIA  PITAGORA 4 
VIA  BASSO LELIO 8 
VIA  CASARSA 9 
VIA  SCANINI ALESSANDRO 9 
VIA  ARIMONDI GIUSEPPE 55 
VIA  GESU' 2 interno A
VIA  NERVESA 30 
PLE  LORETO 16 
VIA  BOSCOVICH RUGGERO 18 
VIA  NOVARA 15 
VLE  PISA 10 
VIA  DEL DUCA CINO 12 
VIA  WITTGENS FERNANDA 5 
VIA  PIERO DELLA FRANCESCA 57 
VIA  MONCALIERI 15 
VIA  VASARI GIORGIO 2 
VIA FELTRE 38 
PZA  FRATTINI PIETRO 8 
VIA  FELTRE 30 
VIA  GAMBOLOITA 4 
VIA  MEDA GIUSEPPE 52 interno B
PZA  FRATTINI PIETRO 4 
CSO  SEMPIONE 43 
VLE  DI PORTA VERCELLINA 16 
VIA  SANTA MARIA VALLE 1 
VIA  FILZI FABIO 8 
VIA  PALAZZI LAZZARO 2 
CSO  SAN GOTTARDO 29 interno 31
VIA  SANTA MARIA VALLE 3 
VIA BOVISASCA 173 
VIA  MANZONI ALESSANDRO 7 
VIA  TOCE 11 
PZA  ANGILBERTO II 9 
CSO  VITTORIO EMANUELE II 9 
VIA  MAFFUCCI ANGIOLO 18 
VLE  GIOVANNI DA CERMENATE 27 
CSO  EUROPA 2 
CSO  SAN GOTTARDO 19 
VIA  FARA GUSTAVO 39 
VIA  VOLTERRA 12 
CSO  SAN GOTTARDO 11 
VIA  ALDINI ANTONIO 28 interno B
VIA  BASSI UGO 5 
VIA  FARA GUSTAVO 35 
VIA  STRIGELLI GAETANO 13 
VIA  IMPERIA 33 
PZA  DEL DUOMO 31 
VIA  BASSI UGO 1 interno B
VLE  MURILLO S.B. 5 
CSO  SEMPIONE 21 
VLE  STELVIO 47 
VIA  PARAVIA PIER ALESSANDRO 77 
VIA  TESSA DELIO 1 
VIA  PAULLO 11 
VIA  MODENA GUSTAVO 8 interno 10
VLE  MONZA 23 
VLE  MOLISE 56 
VIA  FARINI CARLO 47 
PZA  DEL DUOMO 25 
CSO GARIBALDI GIUSEPPE 97 interno 99
PZA  DEL DUOMO 21 
PZA  DEL DUOMO 20 
VIA  CHIOSTERGI GIUSEPPE 13 
VIA  DOMENICHINO 2 
VIA  PRINA GIUSEPPE 11 
PZA  OTTO NOVEMBRE 6 
VLE  MONZA 16 
VIA LEONCAVALLO RUGGERO 15 interno 17
VIA  DELL' ANNUNCIATA 2 
VIA  AMADEO GIAN ANTONIO 40 
PLE  SIENA 18 
VIA  LEONCAVALLO RUGGERO 17 
PZA  DIAZ ARMANDO 6 
LARGO  BALESTRA ANTONIO 3 
VIA  VILLAPIZZONE 12 
VLE  SUZZANI GIOVANNI 221 
VLE  MONTE CENERI 75 
VIA  PADOVA 15 
VLE  AFFORI 19 
VLE  GIOVANNI DA CERMENATE 62 
VIA  PALAZZOLO DON LUIGI 20 
VIA  SPINOZA BENEDETTO 4 
VIA  SAN MARCO 26 
CSO  VERCELLI 18 
CSO  VERCELLI 16 
VLE MONZA 65 interno 67
VIA PADOVA 22 
VIA  PADOVA 166 
VIA  GALLARATE 199 
CSO  SAN GOTTARDO 42 
VIA  MAFFUCCI ANGIOLO 40 
VLE  ABRUZZI 54 
CSO  VERCELLI 23 interno 25
CSO  VERCELLI 20 
CSO GARIBALDI GIUSEPPE 72 interno 1
VLE  ABRUZZI 51 
VIA  TORINO 2 
PLE  CANTORE ANTONIO 12 
VIA  APELLE 36 interno 38
CSO  SAN GOTTARDO 35 
VIA  SIRTORI GIUSEPPE 26 
VIA  PIER LOMBARDO 2 
VIA  LAMARMORA ALFONSO 21 
VIA  SAN SISTO 9 
VLE  MONZA 289 
VIA  LUDOVICO DI BREME 48 
VIA  OLONA 25 
VIA  HOEPLI ULRICO 5 
VIA CADUTI DI MARCINELLE 2 interno 1
VIA  HOEPLI ULRICO 3 
VIA  GONIN FRANCESCO 71 
VIA  NIEVO IPPOLITO 41 
VIA  MONTE NAPOLEONE 2 
VIA  MONTE NAPOLEONE 3 
VIA  SAN SISTO 3 
VIA  BERTANI AGOSTINO 2 
VIA  MONTE NAPOLEONE 6 interno A
VIA  MONTE NAPOLEONE 4 
VIA  AMMIANO MARCELLINO 14 
VIA  MONTE NAPOLEONE 5 
VIA  LEGNONE 3 
VIA  MONTE NAPOLEONE 8 
VIA  PASTORELLI GIOVANNI 19 
VIA  MELZO 7 
VIA  URUGUAY 6 
PZA  DEL LIBERTY 2 
VIA  MOLINO DELLE ARMI 49 
VIA  CAVALLOTTI FELICE 13 
VIA  OLONA 1 
VIA  SISMONDI GIANCARLO 35 
RIP  DI PTA TICINESE 47 
VIA  DELLA SPIGA 30 
PZA  DEL LIBERTY 4 
CSO  SEMPIONE 6 
VIA  COSTA ANDREA 1 
PZA  DEL LIBERTY 8 
VIA  CONCA DEL NAVIGLIO 37 
VIA  VICO GIAN BATTISTA 14 
VIA  VAL DI BONDO 15 
VIA  LUDOVICO DI BREME 25 
VIA  QUARENGHI GIACOMO 40 
VIA  ROSSI PELLEGRINO 80 
VIA  BERGAMO 10 
VIA  TRILUSSA 26 
VIA  TEODOSIO 55 
PLE  BAIAMONTI ANTONIO 4 
VIA  SPALLANZANI LAZZARO 5 
VIA  PADOVA 111 
VIA  GOZZI GASPARE 5 
VIA  F.LLI ANTONA TRAVERSI 18 
VIA  PANZERI PIETRO 10 
VLE  COL DI LANA 6 
VIA  SISMONDI GIANCARLO 70 
PZA  DELLA SCALA 5 
VIA  STAMIRA D'ANCONA 28 
VIA  SACCARDO PIETRO ANDREA 22 
VIA  GRASSI GIOVANNI BATTISTA 98 
VIA  ARONA 15 
VIA  VENINI GIULIO E CORRADO 87 
VIA  CUSANI 10 
PLE PRINCIPESSA CLOTILDE 10 interno A
VLE  CERTOSA 9 
VIA  ROSSI PELLEGRINO 15 
VIA  PRINETTI LUIGI 44 
VIA  MARIANI POMPEO 2 
VIA  CUSANI 5 
VIA  FOSCOLO UGO 1 interno 3
GLL  BUENOS AIRES 9 
VIA  DE AMICIS EDMONDO 20 interno 22
VIA  BIGLI 19 
VIA  SPADARI 1 
VIA  PAISIELLO GIOVANNI 1 
VIA  PICCINNI NICOLA 2 
VIA  FOSCOLO UGO 3 
VIA  SPADARI 2 
VIA  GONIN FRANCESCO 11 
VIA  SPADARI 7 interno 9
VIA  MANCINI LODOVICO 2 
VIA  COLONNA MARCO ANTONIO 35 
VIA  FOSCOLO UGO 8 
VIA  MANCINI LODOVICO 4 interno 6
VIA  DELLA SPIGA 22 
VIA  ROSSI PELLEGRINO 46 
VIA  LOMBROSO CESARE 54 
VIA  DELLA SPIGA 26 
CSO  VITTORIO EMANUELE II 1 
VIA  DARWIN CARLO ROBERTO 2 
VIA  SAN RAFAEL DELLE ANDE 6 interno 1
VIA  PONTE VETERO 14 
VIA  SAVONA 25 
VLE  JENNER EDOARDO 29 
VIA  BIGLI 22 
VIA  PISANI VITTOR 8 
VIA  DELLA SPIGA 19 interno A
VIA  SAN PROSPERO 1 
VIA TARTINI GIUSEPPE 3 interno A
PZA  VENTICINQUE APRILE 10 
PZA  VENTICINQUE APRILE 12 
VIA  BUONARROTI MICHELANGELO 11 
VIA  VALASSINA 12 
FOR  BUONAPARTE 74 
VIA MERULA GIORGIO 9 interno 3
VIA  ASTESANI ALESSANDRO 39 
VIA  LITTA MODIGNANI ALESSANDRO 112 
VIA  DELLE BETULLE 12 
VIA  RIPAMONTI GIUSEPPE 37 
VIA  ASTESANI ALESSANDRO 46 
VIA  MARGHERA 36 
VIA  LORENTEGGIO 219 
VIA  SANT' ANDREA 5 
VIA  GALLARATE 40 
VIA  SANT' ANDREA 9 
VIA  SANT' ANDREA 8 interno A
VIA  PORPORA NICOLA ANTONIO 125 
VIA  PARRI FERRUCCIO 60 
VIA  DELLA PECETTA 31 interno 33
VIA  SOLONE 8 
VLE  MONZA 107 
FOR  BUONAPARTE 53 
VIA  MARGHERA 28 
VIA  TOLSTOI LEONE 87 
VIA  TRIVULZIO ANTONIO TOLOMEO 12 
PTA  GIORDANO UMBERTO 4 
VIA  TRIVULZIO ANTONIO TOLOMEO 15 
VIA  DURAZZO 5 
PZA  RISORGIMENTO 10 
VLE  MONZA 113 
PLE  BOLOGNA 7 
VLE  TESTI FULVIO 260 
VIA  LIVIGNO 20 
VIA  PESTALOZZI GIOVANNI ENRICO 21 
PZA  NAPOLI 11 
VIA  CASORETTO 45 
CSO  GARIBALDI GIUSEPPE 127 
VIA  TORINO 29 
VLE  LIGURIA 28 
VIA  TORINO 23 
VIA  TORINO 21 
VIA  BIANCHI MOSE' 94 
VIA  GRASSI GIOVANNI BATTISTA 15 
VIA  INAMA VIRGILIO 4 
VIA  PETITTI CARLO ILARIONE 5 
VLE  CIRENE 22 
VIA  PETITTI CARLO ILARIONE 6 
VIA  VISCONTI ALEX 24 interno A
PZA  MENTANA 3 
VIA  TORINO 19 
VLE  MONZA 134 
ALZ  NAVIGLIO GRANDE 98 
VLE FORLANINI ENRICO 63 interno 75
VIA  STRIGELLI GAETANO 8 
VIA  VARESINA 92 
GLL  BUENOS AIRES 13 
VIA  DUPRE' GIOVANNI 14 
PZA  DE ANGELI ERNESTO 3 
PZA  DE ANGELI ERNESTO 1 
VIA  BODONI GIAMBATTISTA 2 
VIA  ROSSI PELLEGRINO 93 
LGO  AUGUSTO 8 
VIA  F.LLI GABBA 1 
VIA  LORENTEGGIO 27 
VIA  VODICE 3 
VIA  TORINO 44 
VLE FORLANINI ENRICO 31 
VIA  VERRI PIETRO 10 
VIA  PONTACCIO 3 
VIA  TORINO 47 
VIA  DELLE ORCHIDEE 4 
VIA  TORINO 51 
VIA  CALZECCHI TEMISTOCLE 17 
VIA  LEPONTINA 12 
VIA  TIMAVO 32 
VIA  PLANA GIOVANNI ANTONIO 38 
VIA  VESPRI SICILIANI 51 
VIA  SAN RAFFAELE 1 
VLE  CASSIODORO 12 
VIA  OROBIA 11 
VIA  TORINO 34 
GLL  PASSARELLA 2 
GLL  PASSARELLA 1 
VIA  MAESTRI CAMPIONESI 25 
VIA  BELGIRATE 24 
VIA  AMPERE ANDREA MARIA 103 
VIA AMORETTI CARLO 4 interno 6
CSO  VERCELLI 37 
CSO  VERCELLI 35 
VIA  MASOLINO DA PANICALE 7 
CSO  VERCELLI 30 
PLE  LODI 3 
VIA  SANTA RADEGONDA 10 
CSO  VERCELLI 38 
VIA  PONTI ETTORE 45 
PZA  VESUVIO 19 
VIA  MERAVIGLI 2 
VIA  S. GIOV. SUL MURO 18 
VIA  ALUNNO NICOLO' 23 
VLE  EGINARDO 15 
CSO  VENEZIA 29 
VIA  NERINO 15 
VIA  FERRUCCI FRANCESCO 6 
VIA  LOPEZ SABATINO 9 
VLE  ESPINASSE CARLO 19 
VIA  CASTALDI PANFILO 41 
VIA  SAN PAOLO 1 
VIA  TITO LIVIO 30 
CSO  VERCELLI 3 
VLE  MONZA 75 
CSO  VERCELLI 8 
VIA  PORRO LAMBERTENGHI LUIGI 16 
VIA  TITO LIVIO 28 
VIA  TORINO 61 
VIA  FERRUCCI FRANCESCO 2 
VIA  CARNEVALI ANTONIO 116 
PZA  SAN MARCO 1 
CSO  VENEZIA 15 
CSO  VENEZIA 14 
CSO  INDIPENDENZA 1 
VIA  VERRI PIETRO 1 interno 3
VIA  VERRI PIETRO 8 
VIA  VERRI PIETRO 6 
VIA  POLESINE 39 
VIA  NERINO 12 
VIA  VARESINA 25 
VLE  LIGURIA 40 
VIA  PASSIONE 2 interno A
VLE  ABRUZZI 10 
VIA NEGROTTO MICHELE PERICLE 49 interno 6
VIA  ARONA 4 
VIA  VIPACCO 36 
VLE  ABRUZZI 13 interno A
VIA  SAN DAMIANO 4 
VIA  SANTA MARIA ALLA PORTA 1 
VLE  STELVIO 3 
VIA  DELL' INNOMINATO 2 
VIA  VALSOLDA 11 
VLE  PAPINIANO 27 
VIA  MORGANTINI MARIO 15 
VIA  WILDT ADOLFO 2 
VIA  INGANNI ANGELO 64 
VIA  GOZZOLI BENOZZO 130 
VIA  LIPARI 9 
VIA  RIPAMONTI GIUSEPPE 175 
VIA  LORENTEGGIO 264 
VIA  GIOIA MELCHIORRE 62 
VIA  GUINIZELLI GUIDO 22 
VIA  TOLSTOI LEONE 61 
VIA  ROSSO DI SAN SECONDO 15 
VIA  TADINO ALESSANDRO 53 
VIA  SAN SIRO 31 
VIA  F.LLI BRONZETTI 37 
VIA  OROPA 4 
VIA  CASORETTO 33 
VIA  CASATI FELICE 32 
VIA  PALIZZI FILIPPO 69 
VIA  DELL' ORSO 7 interno A
LGO  BOCCIONI UMBERTO 6 
VIA  MADERNA BRUNO 2 
PZA  DELLA TRIVULZIANA 5 
VIA  VALLAZZE 87 
VIA  GATTAMELATA 41 
VLE  ELVEZIA 22 
VIA  LAZZARETTO 17 
PZA  DELLA TRIVULZIANA 6 
VIA  FOPPA VINCENZO 49 
GLL  PATTARI 2 
VIA INGANNI ANGELO 85 interno 89
VIA  MARCO D'AGRATE 8 
VIA  BARONA 21 
VIA  LORENTEGGIO 240 
VIA  SETTEMBRINI LUIGI 11 
VIA  GROSSICH ANTONIO 3 
VIA  LORENTEGGIO 246 
VIA  F.LLI BRONZETTI 16 
VIA  ASTESANI ALESSANDRO 17 
VIA  DELLA MOSCOVA 30 
VIA  BRERA 21 
VIA  FRIEDRICH VON HAYEK 4 
VIA  FOPPA VINCENZO 33 
VIA  PASSO BUOLE 4 
VIA  LORENTEGGIO 230 
VIA  MELZO 36 
VIA  BOTTA CARLO 7 
VIA  SETTEMBRINI LUIGI 20 
VLE  MARTINI ENRICO 9 
VIA  SPALLANZANI LAZZARO 10 
VIA  DAIMLER GOTTLIEB WILHELM 1 
VIA RUTILIA 10 interno 8
VIA  FARINI CARLO 79 
VLE  BLIGNY 54 
VIA  IMPERIA 15 
VIA  LACAITA GIACOMO FILIPPO 2 
VIA  FARINI CARLO 77 
VIA  CANTONI GIOVANNI 7 
VIA  SANT' EUFEMIA 25 
VIA  SANTA RADEGONDA 3 
